Location,BHK,Area_sqft,Price_Lakhs,Age_Years,Parking,Status
Hitech City - Hyderabad,3,1517,120.88,7,Yes,Available
Vasant Kunj - Delhi,4,2375,512.42,2,Yes,Available
Koramangala - Bangalore,1,465,47.07,6,No,Available
Hebbal - Bangalore,2,1024,87.13,6,No,Available
Velachery - Chennai,3,1778,130.6,6,Yes,Available
Hinjewadi - Pune,2,1002,66.92,0,No,Available
Baner - Pune,2,1048,70.06,12,No,Available
Powai - Mumbai,1,603,118.73,6,No,Available
Andheri - Mumbai,3,1180,290.37,5,No,Available
Anna Nagar - Chennai,2,1056,117.96,20,No,Available
OMR - Chennai,4,2095,160.41,0,Yes,Sold
Navi Mumbai - Mumbai,1,554,58.86,7,Yes,Available
Porur - Chennai,2,1103,75.25,20,Yes,Available
Whitefield - Bangalore,2,1085,94.18,10,No,Sold
Navi Mumbai - Mumbai,4,2281,249.85,5,Yes,Available
Whitefield - Bangalore,3,1624,122.0,7,Yes,Available
Velachery - Chennai,2,910,66.75,4,Yes,Available
Kukatpally - Hyderabad,1,526,31.96,2,Yes,Sold
Powai - Mumbai,4,2193,672.66,1,Yes,Sold
Sarjapur - Bangalore,2,1106,70.09,20,Yes,Sold
Hebbal - Bangalore,2,1021,100.2,1,No,Sold
Noida Sector 62 - Delhi,3,1559,126.91,20,No,Available
Madhapur - Hyderabad,3,1741,144.82,1,No,Available
Baner - Pune,4,2503,240.58,0,Yes,Available
Powai - Mumbai,2,1145,284.62,12,No,Sold
Tambaram - Chennai,3,1477,103.75,1,No,Sold
Jubilee Hills - Hyderabad,3,1467,254.48,6,No,Available
Powai - Mumbai,3,1716,389.36,5,Yes,Available
HSR Layout - Bangalore,3,1674,138.93,12,Yes,Sold
Andheri - Mumbai,4,2177,512.4,7,Yes,Sold
Koramangala - Bangalore,2,1008,157.44,6,Yes,Sold
OMR - Chennai,3,1626,117.34,0,Yes,Sold
Noida Sector 62 - Delhi,1,539,37.76,4,No,Sold
Rohini - Delhi,2,1166,99.66,6,Yes,Available
Miyapur - Hyderabad,3,1567,101.11,3,Yes,Available
Navi Mumbai - Mumbai,1,524,52.41,8,Yes,Sold
Velachery - Chennai,1,541,39.15,1,Yes,Sold
Hadapsar - Pune,4,2167,153.82,5,Yes,Sold
Hinjewadi - Pune,2,1036,80.76,15,Yes,Sold
Baner - Pune,2,967,75.33,2,No,Sold
Koramangala - Bangalore,3,1411,220.35,0,Yes,Available
Banjara Hills - Hyderabad,3,1699,249.65,5,Yes,Available
Baner - Pune,4,2469,274.85,4,Yes,Sold
Anna Nagar - Chennai,3,1654,220.36,12,Yes,Available
Rohini - Delhi,4,2475,228.98,7,No,Sold
Sarjapur - Bangalore,3,1660,120.05,4,Yes,Sold
Baner - Pune,4,2671,211.5,8,Yes,Sold
Madhapur - Hyderabad,4,2453,192.15,5,No,Sold
Gurgaon - Delhi,2,917,134.88,7,Yes,Sold
Hebbal - Bangalore,2,1043,97.91,5,No,Available
Powai - Mumbai,3,1777,347.56,8,Yes,Sold
Anna Nagar - Chennai,4,2378,307.7,1,Yes,Available
Koramangala - Bangalore,2,986,122.25,10,Yes,Available
Koramangala - Bangalore,1,590,59.75,12,Yes,Sold
Miyapur - Hyderabad,2,1053,47.45,20,No,Sold
Borivali - Mumbai,1,548,88.28,12,Yes,Sold
Koramangala - Bangalore,4,2264,302.02,8,No,Sold
Tambaram - Chennai,2,1069,70.99,3,Yes,Available
Marathahalli - Bangalore,3,1557,138.99,0,Yes,Sold
Kondapur - Hyderabad,3,1606,113.13,12,Yes,Sold
Kothrud - Pune,3,1586,130.35,7,Yes,Available
Rohini - Delhi,4,2469,257.12,6,Yes,Available
Kukatpally - Hyderabad,4,2323,164.7,4,Yes,Sold
Andheri - Mumbai,3,1768,401.1,5,No,Available
Hitech City - Hyderabad,3,1573,118.58,8,No,Available
Madhapur - Hyderabad,3,1596,96.8,12,No,Available
Indiranagar - Bangalore,1,617,71.7,2,Yes,Sold
Gachibowli - Hyderabad,3,1477,122.45,6,Yes,Available
Miyapur - Hyderabad,4,2082,143.2,7,Yes,Available
Whitefield - Bangalore,3,1657,115.3,8,Yes,Sold
Sarjapur - Bangalore,3,1440,84.76,3,No,Available
Navi Mumbai - Mumbai,2,941,97.58,12,Yes,Sold
Electronic City - Bangalore,2,951,82.07,1,Yes,Available
Velachery - Chennai,3,1607,132.25,5,Yes,Sold
Miyapur - Hyderabad,1,542,27.71,3,Yes,Sold
Banjara Hills - Hyderabad,3,1606,273.83,1,Yes,Sold
Whitefield - Bangalore,2,1053,106.86,3,Yes,Sold
Velachery - Chennai,2,957,76.55,20,Yes,Available
Sarjapur - Bangalore,3,1690,93.92,12,Yes,Available
Koramangala - Bangalore,1,520,56.31,5,Yes,Available
OMR - Chennai,2,1111,69.39,6,No,Available
HSR Layout - Bangalore,4,2662,309.47,5,Yes,Sold
Kothrud - Pune,3,1546,163.45,1,Yes,Sold
Indiranagar - Bangalore,3,1767,233.87,10,No,Available
Dwarka - Delhi,2,1063,114.13,3,Yes,Sold
Koramangala - Bangalore,3,1636,184.45,5,No,Available
Hitech City - Hyderabad,2,1024,94.84,0,Yes,Available
Porur - Chennai,3,1487,91.46,12,Yes,Sold
Baner - Pune,3,1571,131.26,10,Yes,Sold
Tambaram - Chennai,2,996,48.22,7,Yes,Available
Hebbal - Bangalore,2,1085,95.16,3,Yes,Sold
Noida Sector 62 - Delhi,2,1075,70.42,8,Yes,Available
Vasant Kunj - Delhi,3,1503,238.13,6,Yes,Available
Noida Sector 62 - Delhi,3,1368,96.85,2,No,Available
Rohini - Delhi,3,1553,147.09,4,No,Sold
Powai - Mumbai,2,1105,230.89,4,No,Sold
Hitech City - Hyderabad,2,911,99.75,0,Yes,Available
Anna Nagar - Chennai,2,1050,131.8,10,Yes,Sold
Banjara Hills - Hyderabad,2,1070,161.88,10,No,Sold
Kukatpally - Hyderabad,3,1479,102.28,10,Yes,Sold
Sarjapur - Bangalore,2,1131,68.63,2,Yes,Available
Whitefield - Bangalore,1,574,46.74,5,No,Available
Bandra - Mumbai,2,1073,433.42,4,Yes,Available
Thane - Mumbai,2,1003,99.73,6,Yes,Sold
Thane - Mumbai,3,1440,170.86,5,Yes,Sold
Gurgaon - Delhi,4,2350,345.54,4,No,Sold
Jubilee Hills - Hyderabad,1,527,69.04,12,No,Available
Miyapur - Hyderabad,1,487,22.16,4,Yes,Available
Electronic City - Bangalore,2,944,58.66,7,No,Available
Borivali - Mumbai,2,934,160.62,6,Yes,Available
Powai - Mumbai,2,1066,324.8,2,Yes,Available
Dwarka - Delhi,3,1809,207.96,2,Yes,Available
Baner - Pune,3,1336,129.32,2,No,Available
Tambaram - Chennai,2,924,58.87,3,Yes,Available
Bandra - Mumbai,3,1661,738.66,5,Yes,Available
Wakad - Pune,2,1089,72.31,7,Yes,Sold
Hinjewadi - Pune,1,534,36.53,12,No,Available
Vasant Kunj - Delhi,3,1596,288.74,7,Yes,Available
Hadapsar - Pune,3,1394,83.15,2,Yes,Available
Wakad - Pune,1,524,41.55,1,Yes,Available
Porur - Chennai,2,1006,57.32,7,No,Available
Jubilee Hills - Hyderabad,2,1099,190.46,5,Yes,Available
Koramangala - Bangalore,1,495,51.01,12,No,Sold
Hebbal - Bangalore,3,1799,132.6,7,Yes,Available
Gurgaon - Delhi,3,1383,161.29,5,No,Sold
Kukatpally - Hyderabad,3,1489,92.24,2,Yes,Available
Kondapur - Hyderabad,4,2452,207.72,5,Yes,Sold
Jubilee Hills - Hyderabad,2,955,148.06,7,Yes,Available
Anna Nagar - Chennai,3,1804,205.12,6,Yes,Sold
Baner - Pune,2,1044,75.72,8,Yes,Sold
Baner - Pune,2,1052,102.98,0,No,Available
Vasant Kunj - Delhi,3,1671,252.43,10,No,Available
Electronic City - Bangalore,3,1748,94.2,7,Yes,Available
Navi Mumbai - Mumbai,3,1632,158.23,10,Yes,Available
Rohini - Delhi,1,495,32.7,7,Yes,Sold
Velachery - Chennai,2,1187,101.79,7,Yes,Sold
Hitech City - Hyderabad,3,1564,138.9,2,No,Available
HSR Layout - Bangalore,2,1085,130.06,3,Yes,Available
HSR Layout - Bangalore,2,954,91.76,8,No,Available
Porur - Chennai,2,1036,65.85,7,Yes,Available
Gachibowli - Hyderabad,4,2329,217.14,1,Yes,Sold
Velachery - Chennai,2,1134,90.66,3,Yes,Available
Kondapur - Hyderabad,2,1114,94.29,20,Yes,Sold
Tambaram - Chennai,2,971,64.94,1,No,Available
Powai - Mumbai,4,2150,524.49,10,Yes,Available
Hinjewadi - Pune,2,1173,74.42,15,Yes,Sold
Rohini - Delhi,3,1716,121.82,12,No,Sold
Whitefield - Bangalore,3,1698,145.21,0,Yes,Available
Miyapur - Hyderabad,3,1646,95.18,3,Yes,Available
Noida Sector 62 - Delhi,2,1035,78.36,1,Yes,Available
Dwarka - Delhi,3,1644,154.53,20,Yes,Available
Koramangala - Bangalore,3,1749,233.07,10,Yes,Available
Wakad - Pune,2,1053,103.72,1,No,Sold
Baner - Pune,2,1212,97.05,4,Yes,Sold
Koramangala - Bangalore,4,2347,270.83,6,No,Available
Powai - Mumbai,2,939,289.27,0,Yes,Available
Tambaram - Chennai,2,1142,54.62,6,Yes,Available
Indiranagar - Bangalore,1,497,54.53,12,Yes,Sold
Vasant Kunj - Delhi,3,1690,357.32,3,Yes,Available
Marathahalli - Bangalore,2,1107,88.88,1,Yes,Sold
Electronic City - Bangalore,3,1669,91.64,20,Yes,Available
HSR Layout - Bangalore,2,1050,111.43,15,Yes,Sold
Banjara Hills - Hyderabad,2,895,165.77,4,Yes,Sold
Indiranagar - Bangalore,2,1078,132.54,12,No,Available
Sarjapur - Bangalore,3,1921,151.93,2,Yes,Sold
Thane - Mumbai,4,2295,370.97,3,No,Available
Kothrud - Pune,3,1728,152.34,5,No,Sold
Thane - Mumbai,2,847,80.82,12,Yes,Sold
Hinjewadi - Pune,4,2278,200.64,7,Yes,Available
Powai - Mumbai,2,1058,295.6,1,Yes,Available
Noida Sector 62 - Delhi,1,510,32.8,7,No,Sold
Powai - Mumbai,4,2331,534.27,5,Yes,Sold
Electronic City - Bangalore,2,1056,68.7,6,No,Sold
Powai - Mumbai,3,1301,350.73,2,No,Sold
Navi Mumbai - Mumbai,2,1054,134.06,5,No,Available
Hitech City - Hyderabad,2,1147,135.99,0,Yes,Sold
Kothrud - Pune,3,1547,143.3,4,Yes,Available
Andheri - Mumbai,3,1563,313.39,15,Yes,Available
Sarjapur - Bangalore,3,1594,102.1,12,Yes,Sold
Gachibowli - Hyderabad,4,2376,226.21,20,No,Available
Vasant Kunj - Delhi,3,1794,370.87,4,Yes,Sold
Hadapsar - Pune,3,1589,92.07,5,Yes,Available
Borivali - Mumbai,2,943,153.52,0,No,Sold
Banjara Hills - Hyderabad,3,1441,202.48,4,Yes,Available
Sarjapur - Bangalore,1,556,42.57,3,No,Sold
Madhapur - Hyderabad,3,1616,133.65,0,Yes,Sold
Kukatpally - Hyderabad,3,1547,93.17,4,No,Sold
Rohini - Delhi,3,1457,100.48,12,No,Sold
Whitefield - Bangalore,1,630,49.43,12,Yes,Available
Gachibowli - Hyderabad,4,2424,265.82,4,No,Available
Kukatpally - Hyderabad,2,1147,75.47,12,Yes,Available
Porur - Chennai,2,1103,93.59,5,Yes,Sold
Anna Nagar - Chennai,2,1043,121.57,10,Yes,Available
Sarjapur - Bangalore,2,882,53.69,6,No,Sold
Koramangala - Bangalore,1,506,58.2,12,No,Available
Kukatpally - Hyderabad,3,1604,100.2,10,No,Available
Noida Sector 62 - Delhi,4,2505,189.43,3,Yes,Sold
Hebbal - Bangalore,3,1657,151.7,1,Yes,Available
Whitefield - Bangalore,3,1488,125.58,3,Yes,Sold
Hitech City - Hyderabad,2,957,93.39,4,Yes,Sold
Bandra - Mumbai,3,1591,531.12,12,Yes,Available
Indiranagar - Bangalore,3,1787,245.82,6,Yes,Sold
Kukatpally - Hyderabad,2,1019,67.35,15,Yes,Sold
Thane - Mumbai,2,1087,144.65,3,Yes,Sold
Hadapsar - Pune,2,1109,66.66,15,Yes,Sold
Hinjewadi - Pune,2,1145,85.56,7,Yes,Sold
Kondapur - Hyderabad,2,1026,72.93,20,Yes,Available
Kondapur - Hyderabad,3,1773,182.79,1,Yes,Available
Marathahalli - Bangalore,2,1070,63.76,20,No,Available
Hadapsar - Pune,1,647,39.12,2,No,Available
Kondapur - Hyderabad,3,1395,124.75,4,Yes,Sold
Koramangala - Bangalore,2,1013,112.28,10,Yes,Sold
Hitech City - Hyderabad,4,2247,214.19,10,No,Available
Hitech City - Hyderabad,4,2668,278.67,6,Yes,Sold
Kondapur - Hyderabad,2,1174,81.55,10,No,Available
Madhapur - Hyderabad,2,1009,81.43,12,No,Available
Indiranagar - Bangalore,3,1554,238.85,6,Yes,Available
Electronic City - Bangalore,3,1641,113.75,4,No,Sold
Tambaram - Chennai,2,1045,49.29,7,No,Sold
Velachery - Chennai,3,1662,158.77,0,Yes,Available
Jubilee Hills - Hyderabad,1,595,85.25,15,No,Sold
Koramangala - Bangalore,2,1071,157.23,8,Yes,Available
OMR - Chennai,3,1532,110.81,3,Yes,Available
Powai - Mumbai,4,2214,627.5,4,Yes,Available
Noida Sector 62 - Delhi,2,1005,74.08,3,Yes,Available
Vasant Kunj - Delhi,3,1505,251.27,8,Yes,Sold
Andheri - Mumbai,2,1182,214.41,2,No,Sold
Hadapsar - Pune,3,1548,117.59,7,Yes,Available
Dwarka - Delhi,2,1092,98.74,3,No,Available
Miyapur - Hyderabad,3,1487,94.24,0,Yes,Sold
Anna Nagar - Chennai,2,1096,138.07,3,Yes,Available
Hitech City - Hyderabad,2,1108,87.87,8,Yes,Sold
Kondapur - Hyderabad,2,904,71.17,5,No,Sold
Baner - Pune,4,2162,236.68,5,Yes,Available
Vasant Kunj - Delhi,2,1061,197.22,1,Yes,Sold
Kondapur - Hyderabad,2,1182,94.81,10,Yes,Sold
Whitefield - Bangalore,3,1448,105.29,4,No,Available
Noida Sector 62 - Delhi,3,1717,138.51,8,No,Sold
Miyapur - Hyderabad,2,1050,67.72,4,No,Sold
Borivali - Mumbai,3,1597,312.62,1,Yes,Sold
Kukatpally - Hyderabad,2,907,51.81,5,Yes,Sold
Electronic City - Bangalore,2,1142,82.9,2,Yes,Available
Miyapur - Hyderabad,2,990,51.34,12,Yes,Sold
Navi Mumbai - Mumbai,2,889,81.84,6,Yes,Sold
Tambaram - Chennai,2,1104,54.44,8,Yes,Sold
Wakad - Pune,2,1105,86.08,10,No,Sold
Gachibowli - Hyderabad,4,2568,235.2,7,No,Available
Bandra - Mumbai,2,1046,510.89,1,Yes,Available
Anna Nagar - Chennai,2,1168,127.11,4,Yes,Available
Baner - Pune,2,1131,102.29,7,Yes,Available
Sarjapur - Bangalore,3,1501,118.03,6,Yes,Sold
Sarjapur - Bangalore,4,2577,232.49,2,Yes,Available
Anna Nagar - Chennai,3,1617,184.34,4,Yes,Available
Marathahalli - Bangalore,3,1609,127.54,6,Yes,Sold
Borivali - Mumbai,1,492,100.51,5,Yes,Sold
Vasant Kunj - Delhi,3,1457,271.36,5,Yes,Sold
Gurgaon - Delhi,2,1101,144.4,8,Yes,Available
Indiranagar - Bangalore,3,1498,190.28,3,No,Sold
Vasant Kunj - Delhi,4,2307,386.43,10,Yes,Available
Gachibowli - Hyderabad,2,988,74.39,8,Yes,Available
Madhapur - Hyderabad,3,1721,125.61,5,No,Sold
Vasant Kunj - Delhi,4,2494,601.31,5,Yes,Sold
Andheri - Mumbai,2,1086,240.71,7,Yes,Available
Baner - Pune,2,1106,93.29,10,Yes,Sold
Indiranagar - Bangalore,3,1400,198.28,3,Yes,Sold
Electronic City - Bangalore,3,1756,116.31,4,No,Sold
Kukatpally - Hyderabad,3,1506,82.87,10,Yes,Sold
Velachery - Chennai,2,1089,90.01,2,Yes,Available
Electronic City - Bangalore,1,576,30.98,6,No,Sold
Jubilee Hills - Hyderabad,3,1552,237.14,10,Yes,Available
Jubilee Hills - Hyderabad,2,1048,162.82,12,Yes,Sold
Thane - Mumbai,4,2264,305.12,5,Yes,Sold
Madhapur - Hyderabad,3,1526,144.35,1,No,Available
Dwarka - Delhi,3,1688,163.33,0,Yes,Available
Dwarka - Delhi,3,1615,160.04,6,Yes,Sold
Anna Nagar - Chennai,3,1610,151.77,7,No,Sold
Hebbal - Bangalore,1,571,50.59,1,Yes,Available
Anna Nagar - Chennai,2,865,80.87,20,Yes,Sold
Sarjapur - Bangalore,3,1633,138.21,0,Yes,Sold
Porur - Chennai,3,1776,97.71,8,No,Sold
Tambaram - Chennai,2,1039,59.58,2,Yes,Available
Porur - Chennai,3,1547,99.04,8,Yes,Available
Miyapur - Hyderabad,1,557,34.2,2,No,Sold
Rohini - Delhi,2,1070,105.27,3,Yes,Available
Banjara Hills - Hyderabad,2,965,163.03,0,Yes,Sold
Navi Mumbai - Mumbai,2,983,117.58,3,Yes,Available
Andheri - Mumbai,2,1073,239.53,3,No,Available
Dwarka - Delhi,2,1106,112.73,0,No,Available
Bandra - Mumbai,2,1139,556.61,1,Yes,Available
Whitefield - Bangalore,2,1177,91.43,8,Yes,Available
OMR - Chennai,2,1155,59.42,20,Yes,Sold
Kothrud - Pune,3,1649,171.39,20,No,Available
Madhapur - Hyderabad,1,556,37.26,12,Yes,Sold
Whitefield - Bangalore,2,1105,70.67,12,No,Sold
Gurgaon - Delhi,4,2145,262.02,2,Yes,Sold
Vasant Kunj - Delhi,3,1475,280.09,8,Yes,Available
OMR - Chennai,4,2213,147.84,3,No,Available
Jubilee Hills - Hyderabad,1,571,92.1,8,No,Available
Vasant Kunj - Delhi,2,1064,197.4,5,No,Sold
Kondapur - Hyderabad,4,2550,207.4,20,Yes,Sold
Kothrud - Pune,3,1688,167.34,6,No,Sold
Electronic City - Bangalore,3,1495,116.63,5,No,Sold
Powai - Mumbai,2,1170,302.25,3,No,Sold
Tambaram - Chennai,2,955,66.65,0,Yes,Available
Tambaram - Chennai,4,2328,160.56,2,Yes,Sold
Marathahalli - Bangalore,2,1090,75.21,2,Yes,Sold
Tambaram - Chennai,2,923,55.53,6,Yes,Sold
Andheri - Mumbai,2,1001,233.53,3,No,Available
Rohini - Delhi,1,586,44.01,3,Yes,Available
HSR Layout - Bangalore,2,907,104.92,6,No,Available
Anna Nagar - Chennai,3,1498,221.46,5,No,Sold
Noida Sector 62 - Delhi,2,1075,70.11,10,Yes,Sold
Noida Sector 62 - Delhi,2,1107,102.72,4,Yes,Sold
Gurgaon - Delhi,3,1446,233.04,3,Yes,Sold
Rohini - Delhi,3,1546,123.51,7,Yes,Available
Miyapur - Hyderabad,2,981,62.74,1,No,Available
Whitefield - Bangalore,2,1093,84.22,20,Yes,Sold
Marathahalli - Bangalore,3,1567,139.06,4,No,Sold
Porur - Chennai,1,589,31.76,10,No,Sold
Electronic City - Bangalore,3,1433,120.43,0,Yes,Sold
Wakad - Pune,2,1092,72.86,10,No,Available
Jubilee Hills - Hyderabad,2,957,148.63,8,No,Available
Andheri - Mumbai,1,529,135.68,1,Yes,Sold
Hitech City - Hyderabad,2,949,89.25,3,No,Available
Hadapsar - Pune,2,884,49.41,4,No,Sold
HSR Layout - Bangalore,3,1558,158.64,8,Yes,Available
Electronic City - Bangalore,3,1452,112.9,1,Yes,Sold
Navi Mumbai - Mumbai,2,859,88.77,7,Yes,Sold
Kothrud - Pune,1,581,51.44,1,Yes,Sold
Hadapsar - Pune,3,1411,75.92,8,Yes,Available
Hebbal - Bangalore,2,1131,87.58,10,No,Available
OMR - Chennai,2,1201,91.58,2,No,Available
Kondapur - Hyderabad,3,1635,121.34,20,No,Sold
Whitefield - Bangalore,2,1121,98.04,7,Yes,Available
Jubilee Hills - Hyderabad,2,1014,128.6,10,Yes,Available
Kondapur - Hyderabad,2,1067,95.42,7,Yes,Sold
Tambaram - Chennai,3,1631,76.81,3,Yes,Sold
Miyapur - Hyderabad,3,1630,99.77,6,Yes,Available
Velachery - Chennai,2,1185,105.41,6,Yes,Available
Kukatpally - Hyderabad,4,2104,136.09,4,Yes,Available
Rohini - Delhi,1,481,41.75,4,Yes,Available
Indiranagar - Bangalore,3,1844,225.65,12,Yes,Sold
Miyapur - Hyderabad,4,2503,154.03,0,Yes,Available
Baner - Pune,3,1706,172.63,7,Yes,Available
Hebbal - Bangalore,1,592,53.27,6,No,Sold
Koramangala - Bangalore,2,1087,172.53,3,No,Available
Porur - Chennai,4,2483,231.18,1,No,Sold
OMR - Chennai,3,1553,124.49,5,Yes,Sold
Noida Sector 62 - Delhi,3,1496,130.04,7,No,Sold
Hinjewadi - Pune,2,1105,76.38,2,Yes,Available
Hadapsar - Pune,2,1065,73.11,10,Yes,Sold
Koramangala - Bangalore,3,1691,251.79,2,Yes,Available
Borivali - Mumbai,2,1080,168.51,5,Yes,Available
Madhapur - Hyderabad,2,1054,67.7,15,Yes,Sold
Indiranagar - Bangalore,2,1002,157.17,10,Yes,Available
Hinjewadi - Pune,3,1526,120.8,20,Yes,Sold
Velachery - Chennai,2,943,84.42,20,Yes,Available
Sarjapur - Bangalore,1,646,43.04,0,No,Available
Gurgaon - Delhi,3,1513,220.67,1,No,Available
Banjara Hills - Hyderabad,1,572,90.43,3,Yes,Sold
Porur - Chennai,3,1647,99.79,12,Yes,Available
Baner - Pune,1,506,42.01,10,No,Sold
Wakad - Pune,3,1381,109.73,5,Yes,Available
Kukatpally - Hyderabad,2,1073,70.41,20,Yes,Available
Electronic City - Bangalore,2,1010,78.97,2,Yes,Sold
Whitefield - Bangalore,4,2059,194.57,1,No,Available
Powai - Mumbai,3,1628,428.17,1,Yes,Available
Andheri - Mumbai,1,564,148.16,1,Yes,Sold
